Problem,C/C++,Swift,Python,Perl,Lua,Rust,Bash
001,0:00:00.023687,0:00:00.072235,0:00:00.322537,0:00:00.199689,0:00:00.128560,0:00:00.014736,0:00:00.086631
002,0:00:00.021320,0:00:00.023298,0:00:00.066459,0:00:00.050276,0:00:00.032810,0:00:00.004513,0:00:00.005196
003,0:00:00.015521,0:00:00.026744,0:00:00.071715,0:00:00.047873,0:00:00.017318,0:00:00.008033,0:00:00.220436
004,0:00:00.053282,0:00:00.027583,0:00:00.672572,0:00:00.947137,0:00:01.010225,0:00:00.147732,0:00:17.803932
005,0:00:00.202865,0:00:00.951799,0:00:00.036577,0:00:00.014752,0:00:02.939756,0:00:01.486230,0:00:00.023822
006,0:00:00.020161,0:00:00.025325,0:00:00.036213,0:00:00.012529,0:00:00.007064,0:00:00.044221,0:00:00.007402
007,0:00:00.039729,0:00:00.057680,0:00:00.434027,0:00:00.349381,0:00:00.088811,0:00:00.149443,0:01:36.418176
008,0:00:00.024648,0:00:00.176265,0:00:00.076607,0:00:00.025188,0:00:00.041690,0:00:00.041268,0:00:00.362007
009,0:00:00.020563,0:00:00.035303,0:00:00.154119,0:00:00.102630,0:00:00.067331,0:00:00.027587,0:05:43.567932
010,0:00:00.278203,0:00:01.416638,0:00:03.070483,0:00:24.628949,0:00:04.021126,0:00:06.025021,0:03:16.035233
011,0:00:00.002740,0:00:00.058874,0:00:00.019406,0:00:00.011672,0:00:00.006243,0:00:00.006676,0:00:13.233919
012,0:00:00.116175,0:00:00.048960,0:00:00.318192,0:00:00.388215,0:00:02.464054,0:00:00.293159,0:00:05.455015
013,0:00:00.002619,0:00:00.060091,0:00:00.011859,,0:00:00.005406,0:00:00.004612,0:00:00.029247
014,0:00:00.078174,0:00:00.319065,0:00:05.660329,,0:00:02.504880,0:00:00.234247,1:47:16.539037
015,0:00:00.002527,0:00:00.024859,0:00:00.013979,,0:00:00.005071,0:00:00.004315,0:00:00.186400
016,0:00:00.006863,0:00:00.052554,0:00:00.011291,,0:00:00.171086,0:00:00.045675,0:00:24.652277
017,0:00:00.002290,0:00:00.026859,0:00:00.015913,,0:00:00.005864,0:00:00.004261,0:00:00.204489
018,0:00:00.002568,0:00:00.041671,0:00:00.014107,,0:00:00.004711,0:00:00.004457,0:00:01.639173
019,0:00:00.002870,0:00:00.030209,0:00:00.111018,,0:00:00.033773,0:00:00.005755,0:00:03.144177
